               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.022067,           0.0062206,                   0,              0.9311,             0.95556,             0.95412,             0.49405,            0.031573,           0.0038896,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.02249,           0.0071873,                   0,             0.95607,              0.9596,             0.96169,             0.47522,            0.030665,           0.0039206,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.022631,           0.0064131,                   0,             0.98852,              0.9697,             0.97507,             0.47397,            0.031203,           0.0038868,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023698,           0.0067735,                   0,             0.95987,             0.96655,             0.96495,             0.44115,            0.031748,           0.0040045,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.023734,           0.0069536,                   0,             0.93785,             0.93939,              0.9426,              0.4435,            0.032619,           0.0041919,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023105,           0.0064207,                   0,             0.96809,             0.93939,             0.94806,             0.50448,            0.030642,           0.0039324,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022506,            0.006742,                   0,             0.97758,             0.91919,              0.9406,             0.48268,            0.031573,           0.0039413,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.021734,            0.006181,                   0,             0.91909,             0.91791,             0.89363,             0.40959,            0.034264,           0.0040708,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.021944,           0.0061409,                   0,             0.93913,             0.91919,              0.9407,             0.44992,            0.031806,           0.0041085,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.020758,           0.0062813,                   0,              0.9286,             0.89899,             0.92707,             0.45044,            0.031845,           0.0040318,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.019952,           0.0063185,                   0,             0.90604,             0.87664,             0.85624,              0.4213,             0.03317,           0.0040791,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02093,           0.0062016,                   0,             0.91686,             0.93939,             0.93229,             0.46681,            0.031087,           0.0039632,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020982,            0.005892,                   0,             0.90897,              0.9078,              0.8961,             0.45723,            0.030165,            0.004029,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020446,           0.0067517,                   0,             0.93939,             0.93933,             0.95241,               0.455,            0.030466,           0.0040421,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020084,           0.0061146,                   0,             0.94998,             0.95922,             0.95524,             0.49962,            0.028985,           0.0038861,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.020007,           0.0062722,                   0,             0.94724,             0.93939,             0.92611,             0.49151,            0.029314,           0.0037323,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.019691,           0.0062993,                   0,             0.95648,              0.9697,              0.9656,             0.50366,            0.028072,           0.0038034,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019572,           0.0060614,                   0,             0.92825,             0.93939,              0.9226,             0.46097,            0.029733,            0.003862,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.020298,           0.0061721,                   0,             0.93994,             0.94849,             0.93164,             0.45238,            0.029234,           0.0038794,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.018791,           0.0055542,                   0,             0.93641,             0.92929,             0.92184,             0.45568,            0.029551,           0.0038811,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.018953,            0.006113,                   0,             0.94522,             0.92929,             0.92479,             0.44344,            0.030309,           0.0038447,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.019663,           0.0060444,                   0,             0.91919,             0.91919,              0.8908,             0.44595,            0.029284,           0.0038522,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018612,           0.0057451,                   0,             0.93985,             0.94702,             0.94309,             0.45795,             0.02986,           0.0039108,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018875,           0.0056304,                   0,             0.95826,              0.9596,             0.95558,             0.45955,            0.030294,           0.0039316,                   0,             0.00406,             0.00406,             0.00406
                  62,             0.01919,           0.0057092,                   0,             0.94781,              0.9596,             0.94503,             0.46351,            0.029845,           0.0039561,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.017592,           0.0056947,                   0,             0.97912,             0.94745,             0.97248,              0.4951,             0.03003,           0.0039454,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018611,           0.0062747,                   0,             0.95763,             0.94949,             0.95027,             0.46221,            0.029864,           0.0039608,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.018236,           0.0060015,                   0,             0.97975,             0.97734,             0.97953,             0.45815,            0.030133,           0.0039715,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.019243,            0.005726,                   0,              0.9499,             0.95763,             0.94409,             0.46034,            0.030686,           0.0039727,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.017483,           0.0051932,                   0,             0.94044,              0.9569,             0.92655,             0.45805,            0.030071,           0.0039969,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017207,           0.0056821,                   0,             0.93045,             0.94594,             0.92017,             0.43749,             0.03097,            0.004131,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.017159,           0.0056734,                   0,             0.92904,             0.94949,             0.92945,             0.46044,            0.029648,           0.0040613,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.016801,            0.005345,                   0,             0.95046,             0.96908,             0.94794,              0.4659,            0.029382,           0.0040528,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.016469,           0.0055438,                   0,             0.93927,             0.94949,              0.9404,             0.45791,            0.030397,           0.0040938,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.015918,           0.0054239,                   0,              0.9489,             0.93785,              0.9541,             0.47207,              0.0303,           0.0040034,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016705,           0.0056252,                   0,             0.95699,             0.93939,             0.95472,             0.47823,            0.029687,           0.0039176,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.016851,           0.0055772,                   0,             0.95828,               0.928,             0.93769,             0.46814,            0.029547,           0.0039195,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.016396,           0.0057558,                   0,             0.95861,              0.9357,             0.94741,              0.4814,            0.029569,            0.003948,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.016864,           0.0056118,                   0,             0.93812,             0.91873,             0.92657,             0.47357,            0.030142,           0.0039615,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.015301,           0.0054125,                   0,             0.92698,             0.91919,             0.91451,             0.46403,            0.030518,           0.0039799,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016366,           0.0057752,                   0,             0.92794,             0.91919,             0.92973,                0.46,            0.030624,           0.0040136,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.016511,           0.0051325,                   0,             0.93922,             0.93649,               0.933,             0.45849,            0.030325,           0.0039439,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.015806,           0.0055582,                   0,             0.93476,             0.93939,             0.93669,             0.47116,            0.029714,           0.0039768,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015787,           0.0054044,                   0,             0.92906,             0.92596,             0.92462,             0.46847,            0.029885,           0.0040122,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015399,            0.005504,                   0,             0.92912,             0.92681,             0.91304,             0.45056,            0.029762,           0.0040157,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015143,           0.0052688,                   0,             0.94841,             0.93939,             0.94017,             0.45836,             0.02998,           0.0040849,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.014979,           0.0050535,                   0,             0.94812,             0.94949,             0.94681,             0.46122,            0.029959,           0.0040871,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.014966,           0.0050171,                   0,             0.94742,             0.92929,             0.93395,             0.45466,            0.030682,           0.0040963,                   0,            0.001684,            0.001684,            0.001684
